 num     #instances         #bytes  class name (module)
 326:            21           1176  java.lang.invoke.BoundMethodHandle$Species_LLLLLLI (java.base@11.0.1)
 327:            36           1152  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.1)
 328:            20           1120  javax.management.openmbean.ArrayType (java.management@11.0.1)
 329:            70           1120  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.1)
 330:            46           1104  java.lang.PublicMethods (java.base@11.0.1)
 331:            68           1088  [Ljava.lang.annotation.Annotation; (java.base@11.0.1)
 332:            34           1088  jdk.internal.loader.URLClassPath$FileLoader$1 (java.base@11.0.1)
 333:            15           1080  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLL (java.base@11.0.1)
 334:            27           1080  java.security.AccessControlContext (java.base@11.0.1)
 335:            33           1056  java.lang.invoke.VarHandle$AccessDescriptor (java.base@11.0.1)
 336:             1           1040  [Ljava.lang.Byte; (java.base@11.0.1)
 337:             1           1040  [Ljava.lang.Integer; (java.base@11.0.1)
 338:             1           1040  [Ljava.lang.Long; (java.base@11.0.1)
 339:            26           1040  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@11.0.1)
 340:            65           1040  jdk.internal.module.SystemModuleFinders$3 (java.base@11.0.1)
 341:            41           1024  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@11.0.1)
 342:             7           1008  [Ljava.lang.invoke.MemberName; (java.base@11.0.1)
 343:            42           1008  java.util.Collections$SingletonList (java.base@11.0.1)
 344:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@11.0.1)
 345:            61            976  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.1)
 346:            30            960  java.security.Provider$EngineDescription (java.base@11.0.1)
 347:            29            928  java.util.logging.LogManager$LogNode (java.logging@11.0.1)
 348:            26            912  [Lco.paralleluniverse.asm.tree.LabelNode;
 349:            19            912  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.1)
 350:            37            888  java.lang.reflect.ProxyGenerator$ExceptionTableEntry (java.base@11.0.1)
